Env	SourceSink	id	SampleID
Example	Source	NA	V14581
Example	Source	NA	V167
Example	Source	NA	V13176
Example	Source	NA	V5899
Example	Source	NA	V4999
Example	Source	NA	V13786
Example	Source	NA	V6210
Example	Source	NA	V1547
Example	Source	NA	V7732
Example	Source	NA	V1318
Example	Source	NA	V431
Example	Source	NA	V9032
Example	Source	NA	V6416
Example	Source	NA	V5554
Example	Source	NA	V5760
Example	Source	NA	V17411
Example	Source	NA	V6341
Example	Source	NA	V16874
Example	Source	NA	V22599
Example	Source	NA	V16540
Example	Source	NA	V5399
Example	Source	NA	V7104
Example	Source	NA	V13802
Example	Source	NA	V1127
Example	Source	NA	V3897
Example	Source	NA	V1583
Example	Source	NA	V7268
Example	Source	NA	V5113
Example	Source	NA	V22824
Example	Source	NA	V4212
Example	Source	NA	V14648
Example	Source	NA	V9036
Example	Source	NA	V4869
Example	Source	NA	V11599
Example	Source	NA	V10507
Example	Source	NA	V23067
Example	Source	NA	V9482
Example	Source	NA	V10321
Example	Source	NA	V7523
Example	Source	NA	V16991
Example	Source	NA	V9989
Example	Source	NA	V491
Example	Source	NA	V21006
Example	Source	NA	V16952
Example	Source	NA	V341
Example	Source	NA	V11619
Example	Source	NA	V4050
Example	Source	NA	V15371
Example	Source	NA	V1395
Example	Source	NA	V10584
Example	Sink	sink	sink
